Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count
Action,False,32.74,38.23,16.67,0.28,1.27,0.02,-0.51,1.82,0.1,2.15,2.22,1.0,3.32,1.98,4.1,3.83,0.54,3.9,1.1,1.4,1.0,3.29,4.72,1.0,2158.19,3300.31,894.0,63
Action,True,30.18,21.97,30.56,0.34,0.47,0.15,0.31,0.47,0.2,3.26,1.72,3.7,4.07,0.66,4.1,3.76,0.62,3.6,16.64,25.56,11.0,57.91,84.91,31.0,8122.45,8458.91,5796.0,11
Action / Action-Adventure,False,30.47,31.91,27.78,0.15,0.18,0.09,0.6,0.72,0.4,2.9,2.54,4.0,4.43,0.55,4.7,3.83,1.25,4.4,4.0,3.61,5.0,11.33,6.51,11.0,2762.67,2780.01,2022.0,3
Action / Action-Adventure,True,32.76,,32.76,0.08,,0.08,-0.2,,-0.2,4.5,,4.5,4.3,,4.3,4.5,,4.5,19.0,,19.0,58.0,,58.0,23978.0,,23978.0,1
Action / Adventure,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.73,-2.0,0.0,0.0,0.0,3.0,1.73,2.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2016.33,302.53,2191.0,3
Action / Adventure / Platformer,False,25.0,,25.0,0.14,,0.14,2.4,,2.4,5.0,,5.0,4.8,,4.8,2.4,,2.4,1.0,,1.0,4.0,,4.0,703.0,,703.0,1
Action / Adventure / RPG,True,100.0,,100.0,0.38,,0.38,-2.1,,-2.1,1.0,,1.0,1.0,,1.0,3.1,,3.1,1.0,,1.0,1.0,,1.0,261.0,,261.0,1
Action / Adventure / RPG / Simulation,False,0.0,,0.0,0.0,,0.0,1.5,,1.5,0.0,,0.0,4.5,,4.5,3.0,,3.0,0.0,,0.0,2.0,,2.0,829.0,,829.0,1
Action / Adventure / Shooter,False,0.0,,0.0,0.0,,0.0,0.9,,0.9,0.0,,0.0,5.0,,5.0,4.1,,4.1,0.0,,0.0,7.0,,7.0,3387.0,,3387.0,1
Action / Brawler,False,11.76,16.64,11.76,0.02,0.04,0.02,0.15,0.92,0.15,2.5,3.54,2.5,4.45,0.64,4.45,4.3,0.28,4.3,2.0,2.83,2.0,9.0,11.31,9.0,3819.0,5079.86,3819.0,2
Action / Brawler,True,30.19,,30.19,0.18,,0.18,0.4,,0.4,4.9,,4.9,4.8,,4.8,4.4,,4.4,16.0,,16.0,53.0,,53.0,8967.0,,8967.0,1
