Genre,momentum_median,momentum_mean,momentum_std,discovery_capture_median,discovery_capture_mean,quality_retention_median,quality_retention_mean,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_trend_7d_vs_alltime_mean,rating_trend_7d_vs_alltime_std,rating_trend_7d_vs_alltime_median,game_count
Adventure / Flight Simulator,100.0,100.0,,0.51,0.51,1.8,1.8,1.0,,1.0,1.0,,1.0,198.0,,198.0,3.2,,3.2,5.0,,5.0,5.0,,5.0,1.8,,1.8,1
Compilation / Platformer,100.0,100.0,,0.26,0.26,0.9,0.9,1.0,,1.0,1.0,,1.0,383.0,,383.0,4.1,,4.1,5.0,,5.0,5.0,,5.0,0.9,,0.9,1
Action / Adventure / RPG,100.0,100.0,,0.38,0.38,-2.1,-2.1,1.0,,1.0,1.0,,1.0,261.0,,261.0,3.1,,3.1,1.0,,1.0,1.0,,1.0,-2.1,,-2.1,1
Sports / Golf,100.0,100.0,,0.02,0.02,1.5,1.5,1.0,,1.0,1.0,,1.0,5649.0,,5649.0,3.5,,3.5,5.0,,5.0,5.0,,5.0,1.5,,1.5,1
Baseball,100.0,100.0,0.0,0.03,0.03,1.7,1.7,1.0,0.0,1.0,1.0,0.0,1.0,3022.0,0.0,3022.0,3.3,0.0,3.3,5.0,0.0,5.0,5.0,0.0,5.0,1.7,0.0,1.7,2
Strategy / Puzzle / Music/Rhythm,66.67,66.67,,0.4,0.4,1.4,1.4,2.0,,2.0,3.0,,3.0,504.0,,504.0,3.3,,3.3,4.7,,4.7,4.5,,4.5,1.2,,1.2,1
Action / RPG / Shooter,56.25,56.25,44.19,0.14,0.14,0.8,0.8,4.5,3.54,4.5,8.0,0.0,8.0,5356.0,3457.75,5356.0,3.85,0.07,3.85,4.65,0.35,4.65,4.95,0.07,4.95,1.1,0.14,1.1,2
Strategy / Puzzle,50.0,50.0,70.71,0.12,0.12,-0.9,-0.9,0.5,0.71,0.5,22.5,30.41,22.5,2724.0,3234.31,2724.0,3.65,0.35,3.65,2.75,2.47,2.75,0.5,0.71,0.5,-3.15,0.35,-3.15,2
Action / Puzzle / Platformer,50.0,50.0,70.71,0.14,0.14,-3.1,-3.1,0.5,0.71,0.5,0.5,0.71,0.5,203.5,225.57,203.5,3.6,0.42,3.6,0.5,0.71,0.5,0.5,0.71,0.5,-3.1,1.13,-3.1,2
Action / Puzzle,50.0,50.0,0.0,0.2,0.2,0.25,0.25,1.0,0.0,1.0,2.0,0.0,2.0,573.0,265.87,573.0,4.0,0.71,4.0,4.25,1.06,4.25,5.0,0.0,5.0,1.0,0.71,1.0,2
Shoot 'Em Up,50.0,50.0,50.0,0.12,0.1,-0.1,-0.17,0.67,0.58,1.0,1.33,0.58,1.0,479.33,388.71,556.0,4.33,0.64,4.6,4.17,1.04,4.5,2.33,2.08,3.0,-2.0,2.42,-0.6,3
Educational,50.0,50.0,,0.01,0.01,-1.3,-1.3,1.0,,1.0,2.0,,2.0,6878.0,,6878.0,4.3,,4.3,3.0,,3.0,1.0,,1.0,-3.3,,-3.3,1
Adventure / Platformer,50.0,30.77,24.53,0.07,0.13,-1.0,-1.11,1.43,1.27,1.0,4.29,4.5,2.0,1436.71,407.15,1525.0,4.31,0.24,4.3,3.2,1.61,3.0,2.06,2.03,1.0,-2.26,2.03,-3.0,7
Sports / Soccer,50.0,50.0,50.0,0.01,0.11,-1.7,-0.87,1.0,1.0,1.0,1.67,2.08,1.0,9783.67,9198.75,9706.0,2.87,1.01,3.4,2.0,2.65,1.0,2.0,2.65,1.0,-0.87,2.08,-1.7,3
RPG / Card Game,45.0,45.0,21.21,0.14,0.14,0.2,0.2,3.0,0.0,3.0,7.5,3.54,7.5,2277.0,395.98,2277.0,3.9,0.0,3.9,4.1,0.42,4.1,4.85,0.21,4.85,0.95,0.21,0.95,2
Action / RPG / Brawler / Action-Adventure,44.44,44.44,,0.85,0.85,0.4,0.4,4.0,,4.0,9.0,,9.0,471.0,,471.0,4.5,,4.5,4.9,,4.9,5.0,,5.0,0.5,,0.5,1
Real-Time Strategy / Action-Adventure,43.9,43.9,,0.66,0.66,0.1,0.1,18.0,,18.0,41.0,,41.0,2731.0,,2731.0,4.7,,4.7,4.8,,4.8,4.8,,4.8,0.1,,0.1,1
Survival,43.48,31.86,20.57,0.08,0.12,0.1,-0.31,2.33,2.96,2.0,7.67,7.43,4.0,3089.0,2365.74,1877.0,3.89,0.24,3.9,3.58,1.44,4.0,4.22,1.62,5.0,0.33,1.66,0.9,9
Compilation / First-Person Shooter,43.34,43.34,33.0,0.14,0.14,-0.2,-0.2,8.5,9.19,8.5,39.0,50.91,39.0,27256.0,37387.56,27256.0,4.25,0.21,4.25,4.05,0.49,4.05,3.95,1.34,3.95,-0.3,1.13,-0.3,2
Action / Simulation / Fighting / Brawler,43.24,43.24,,0.8,0.8,0.3,0.3,32.0,,32.0,74.0,,74.0,4010.0,,4010.0,4.1,,4.1,4.4,,4.4,4.3,,4.3,0.2,,0.2,1
First-Person Shooter / Action-Adventure,43.16,44.87,36.65,0.12,0.21,0.1,-0.5,4.33,3.56,5.0,14.5,18.49,8.0,2967.0,2408.0,2053.5,4.23,0.46,4.4,3.73,1.85,4.4,3.68,1.87,4.05,-0.55,1.44,-0.15,6
Strategy / Adventure,40.2,32.6,22.26,0.31,0.36,0.2,0.15,17.25,18.79,17.5,43.0,46.93,41.5,3497.0,2129.6,3272.0,4.45,0.17,4.45,4.6,0.55,4.8,3.12,2.24,3.8,-1.32,2.1,-0.65,4
