,publisher,has_gamepass_remediation,Unnamed: 2,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count,momentum_mean_baseline,discovery_capture_median_baseline,quality_retention_median_baseline,momentum_mean_diff_baseline,momentum_mean_diff_baseline_pct,discovery_capture_median_diff_baseline,discovery_capture_median_diff_baseline_pct,quality_retention_median_diff_baseline,quality_retention_median_diff_baseline_pct,momentum_lift,discovery_lift,quality_lift
0,Art Games Studio S.A.,False,100.0,,100.0,1.12,,1.12,-1.1,,-1.1,2.0,,2.0,2.0,,2.0,3.1,,3.1,1.0,,1.0,1.0,,1.0,89.0,,89.0,0.0,1.0,,100.0,1.12,-1.1,,,-2.22,-198.21428571428572,3.1,-281.8181818181818,0.0,1.1,-2.0
1,10tons Ltd.,False,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.424,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.424,4.1,0.0,0.0,0.0,0.0,0.0,0.0,254.0,254.558,254.0,0.0,2.0,,0.0,0.0,-4.1,0.0,,-4.1,,4.1,-100.0,0.0,4.1,0.0
2,11 bit studios,False,14.582,17.178,12.5,0.015,0.017,0.015,-0.6,1.838,0.05,2.5,2.887,2.5,3.45,2.369,4.4,4.05,0.569,4.3,0.5,0.577,0.5,2.0,1.826,2.0,1986.0,1427.868,2356.5,0.0,4.0,,10.54,0.03,0.2,6.638000000000002,62.97912713472488,-0.63,-2100.0,2.3,1149.9999999999998,-12.172,0.833,-0.06700000000000017
3,11 bit studios,True,5.143,5.006,5.43,0.94,1.602,0.03,0.233,0.252,0.2,2.433,2.205,3.0,4.467,0.462,4.2,4.233,0.681,4.0,2.667,3.786,1.0,46.667,71.445,10.0,1263.333,1964.032,251.0,3.0,3.0,,10.54,0.03,0.2,-5.533999999999999,-52.50474383301707,0.203,676.6666666666667,2.2329999999999997,1116.4999999999998,-12.172,0.833,-0.06700000000000017
4,13AM Games,False,0.0,,0.0,0.0,,0.0,-2.6,,-2.6,0.0,,0.0,0.0,,0.0,2.6,,2.6,0.0,,0.0,0.0,,0.0,1759.0,,1759.0,0.0,1.0,,0.0,0.0,-2.6,,,-2.6,,2.6,-100.0,0.0,2.6,0.0
5,2K,False,24.393,38.784,0.0,0.939,3.006,0.0,-0.327,1.709,0.3,2.055,2.397,0.0,3.345,1.796,3.8,3.673,0.77,3.5,1.818,2.786,0.0,7.727,11.9,2.0,5578.727,7112.015,3452.0,0.0,11.0,,24.39,0.0,0.3,14.393999999999998,59.01599015990159,-0.327,,1.7550000000000001,585.0,-38.784,0.327,-2.055
6,2K Games,False,30.476,26.746,40.0,0.19,0.202,0.16,-0.064,0.384,-0.2,2.643,2.205,3.0,4.4,0.467,4.3,4.464,0.134,4.5,2.143,2.07,2.0,6.357,2.468,6.0,3122.071,2936.314,1261.0,0.0,14.0,,30.48,0.16,-0.2,-3.7340000000000018,-12.250656167979008,-0.224,-140.0,2.843,-1421.5,-26.746,0.064,-2.643
7,505 Games,False,32.11,35.469,28.57,0.132,0.203,0.02,-0.671,1.991,0.1,2.39,2.385,3.0,3.486,2.074,4.6,4.157,0.443,4.3,3.524,10.112,1.0,9.19,29.659,2.0,2816.905,2302.285,1884.0,0.0,21.0,,31.23,0.05,0.3,4.239000000000001,13.57348703170029,-0.7210000000000001,-1442.0000000000002,2.0900000000000003,696.6666666666667,-27.402,0.928,2.31
8,505 Games,True,28.579,8.067,24.62,0.277,0.381,0.05,0.257,0.207,0.3,4.7,0.451,5.0,4.457,0.382,4.7,4.2,0.412,4.4,13.429,3.952,16.0,49.571,19.303,65.0,19445.857,15333.736,31664.0,7.0,7.0,,31.23,0.05,0.3,-23.163,-74.16906820365034,0.20700000000000002,413.99999999999994,4.4,1466.6666666666667,-27.402,0.928,2.31
9,"8-4, Ltd.",False,25.53,,25.53,0.16,,0.16,0.3,,0.3,4.4,,4.4,4.8,,4.8,4.5,,4.5,12.0,,12.0,47.0,,47.0,7554.0,,7554.0,0.0,1.0,,25.53,0.16,0.3,,,0.13999999999999999,87.49999999999999,4.1000000000000005,1366.666666666667,0.0,-0.3,-4.4
10,ARC SYSTEM WORKS,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.65,3.606,-1.65,0.0,0.0,0.0,2.5,3.536,2.5,4.15,0.071,4.15,0.0,0.0,0.0,0.5,0.707,0.5,537.5,736.098,537.5,0.0,2.0,,0.0,0.0,-1.65,0.0,,-1.65,,1.65,-100.0,0.0,1.65,0.0
11,Accelerate Games,False,0.0,,0.0,0.0,,0.0,1.5,,1.5,0.0,,0.0,5.0,,5.0,3.5,,3.5,0.0,,0.0,2.0,,2.0,275.0,,275.0,0.0,1.0,,0.0,0.0,1.5,,,1.5,,-1.5,-100.0,0.0,-1.5,0.0
12,Activision,False,14.217,12.849,17.65,0.09,0.082,0.11,-1.0,2.816,-0.3,2.833,2.515,3.7,2.733,2.419,3.6,3.733,0.473,3.9,12.0,18.248,3.0,49.667,71.808,17.0,7845.667,10832.0,2628.0,0.0,3.0,,23.63,0.16,0.3,-10.780999999999999,-45.62420651713923,-1.16,-724.9999999999999,2.5330000000000004,844.3333333333335,-9.653,1.4,2.0169999999999995
13,Activision,True,37.74,3.196,37.74,0.29,0.085,0.29,0.4,0.141,0.4,4.85,0.212,4.85,4.1,0.141,4.1,3.7,0.283,3.7,10.5,0.707,10.5,28.0,4.243,28.0,3745.5,815.294,3745.5,2.0,2.0,,23.63,0.16,0.3,-20.433999999999997,-86.47482014388488,0.24000000000000002,150.0,4.55,1516.6666666666665,-9.653,1.4,2.0169999999999995
14,Activision Publishing Inc.,False,52.94,,52.94,0.4,,0.4,0.0,,0.0,2.7,,2.7,2.3,,2.3,2.3,,2.3,9.0,,9.0,17.0,,17.0,2266.0,,2266.0,0.0,1.0,,19.59,0.26,0.0,,,-0.26,-100.0,2.7,,14.379,-0.4,-1.1
15,Activision Publishing Inc.,True,11.25,14.379,7.475,0.615,1.064,0.13,-0.4,1.747,0.2,1.6,1.876,1.4,3.025,1.658,3.05,3.425,0.822,3.45,45.0,57.102,30.5,250.75,375.647,103.0,12646.25,22528.99,1953.0,4.0,4.0,,19.59,0.26,0.0,-5.211,-26.60030627871363,-0.66,-253.84615384615384,1.6,,14.379,-0.4,-1.1
16,Adult Swim Games,False,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.6,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,360.8,258.605,329.0,0.0,5.0,,0.0,0.0,-4.3,0.0,,-4.0,,4.3,-100.0,0.0,4.0,0.0
17,Aggro Crab,True,31.11,,31.11,0.22,,0.22,0.0,,0.0,4.4,,4.4,4.1,,4.1,4.1,,4.1,14.0,,14.0,45.0,,45.0,6490.0,,6490.0,1.0,1.0,,31.11,0.22,0.0,,,-0.22,-100.0,4.4,,0.0,0.0,4.4
18,Alliance Digital Media,False,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,186.0,,186.0,0.0,1.0,,0.0,0.0,-3.1,,,-3.1,,3.1,-100.0,0.0,3.1,0.0
19,Amanita Design s.r.o.,False,33.335,47.143,33.335,0.325,0.46,0.325,-2.5,3.111,-2.5,2.0,2.828,2.0,2.15,3.041,2.15,4.65,0.071,4.65,1.0,1.414,1.0,1.5,2.121,1.5,231.5,111.016,231.5,0.0,2.0,,33.34,0.32,-2.5,13.802999999999997,41.400719856028786,-2.82,-881.25,4.5,-180.0,-47.143,2.5,-2.0
20,Amplitude STUDIOS,False,0.0,,0.0,0.0,,0.0,-2.8,,-2.8,0.0,,0.0,0.0,,0.0,2.8,,2.8,0.0,,0.0,0.0,,0.0,358.0,,358.0,0.0,1.0,,0.0,0.0,-2.8,,,-2.8,,2.8,-100.0,0.0,2.8,0.0
21,Annapurna Interactive,False,25.871,40.113,7.895,0.021,0.04,0.005,-0.76,2.049,0.2,2.46,2.596,2.3,3.44,2.375,4.8,4.2,0.523,4.25,1.7,3.401,0.5,7.7,15.29,1.0,5613.7,3640.351,5933.5,0.0,10.0,,27.81,0.02,0.1,12.303,44.23948220064726,-0.78,-3900.0,2.36,2360.0,-22.435,0.31,0.6400000000000001
22,Annapurna Interactive,True,37.5,17.678,37.5,0.235,0.106,0.235,-0.45,0.071,-0.45,3.1,0.424,3.1,3.55,0.636,3.55,4.0,0.566,4.0,6.5,0.707,6.5,20.0,11.314,20.0,2979.0,1052.175,2979.0,2.0,2.0,,27.81,0.02,0.1,-10.131999999999998,-36.432937792161084,-0.47000000000000003,-2350.0,3.0,3000.0,-22.435,0.31,0.6400000000000001
23,Another Indie,False,100.0,,100.0,0.12,,0.12,-1.8,,-1.8,1.0,,1.0,1.0,,1.0,2.8,,2.8,1.0,,1.0,1.0,,1.0,850.0,,850.0,0.0,1.0,,100.0,0.12,-1.8,,,-1.92,-1600.0,2.8,-155.55555555555554,0.0,1.8,-1.0
24,Another Indie Studio,False,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,145.0,,145.0,0.0,1.0,,0.0,0.0,-3.0,,,-3.0,,3.0,-100.0,0.0,3.0,0.0
25,Arc Games,False,9.828,13.461,0.0,0.022,0.035,0.0,-0.24,2.269,0.6,1.98,2.711,0.0,3.28,2.022,4.3,3.52,0.526,3.7,1.8,3.033,0.0,8.2,12.029,3.0,4059.8,3846.336,1960.0,0.0,5.0,,9.83,0.0,0.6,3.6310000000000002,36.937945066124115,-0.24,,1.38,229.99999999999997,-13.461,0.24,-1.98
26,Aspyr,False,16.667,14.434,25.0,0.047,0.04,0.07,-1.3,1.212,-0.6,3.333,2.887,5.0,2.533,2.194,3.8,3.833,0.981,4.4,0.667,0.577,1.0,2.667,2.309,4.0,1119.0,708.409,1528.0,0.0,3.0,,16.67,0.07,-0.6,-2.2360000000000024,-13.413317336532707,-1.37,-1957.1428571428569,3.9330000000000003,-655.5000000000001,-14.434,1.3,-3.333
27,Aspyr Media,False,16.667,40.825,0.0,0.085,0.208,0.0,-3.2,2.458,-4.3,0.833,2.041,0.0,0.833,2.041,0.0,4.033,0.455,4.3,0.167,0.408,0.0,0.167,0.408,0.0,1184.5,490.947,1425.0,0.0,6.0,,16.67,0.0,-4.3,24.155,144.90101979604077,-3.2,,5.133,-119.37209302325581,-40.825,3.2,-0.833
28,Asteroid Base Inc.,False,33.33,,33.33,0.04,,0.04,0.8,,0.8,5.0,,5.0,5.0,,5.0,4.2,,4.2,1.0,,1.0,3.0,,3.0,2511.0,,2511.0,0.0,1.0,,33.33,0.04,0.8,,,0.76,1900.0,4.2,525.0,0.0,-0.8,-5.0
29,Asymmetric Publications,False,100.0,,100.0,0.65,,0.65,-3.5,,-3.5,1.0,,1.0,1.0,,1.0,4.5,,4.5,1.0,,1.0,1.0,,1.0,153.0,,153.0,0.0,1.0,,100.0,0.65,-3.5,,,-4.15,-638.4615384615385,4.5,-128.57142857142858,0.0,3.5,-1.0
30,"Atari, Digital Eclipse",False,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,0.0,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,7592.0,0.0,7592.0,0.0,4.0,,0.0,0.0,-3.3,0.0,,-3.3,,3.3,-100.0,0.0,3.3,0.0
31,Avalanche Studios,True,38.947,14.597,44.44,0.327,0.237,0.2,0.3,0.361,0.4,3.867,0.321,4.0,3.967,0.513,4.1,3.667,0.289,3.5,36.0,43.589,16.0,144.0,208.192,36.0,8787.333,5705.798,9043.0,3.0,3.0,,38.95,0.2,0.4,-24.353,-62.52374839537869,0.09999999999999998,49.999999999999986,3.467,866.75,14.597,0.3,3.867
32,Awaken Realms Digital,False,60.0,,60.0,0.15,,0.15,-0.1,,-0.1,4.7,,4.7,3.8,,3.8,3.9,,3.9,3.0,,3.0,5.0,,5.0,1997.0,,1997.0,0.0,1.0,,60.0,0.15,-0.1,,,-0.25,-166.66666666666669,4.8,-4799.999999999999,0.0,0.1,-4.7
33,BANDAI NAMCO Entertainment,False,39.271,22.979,30.0,0.125,0.067,0.11,0.288,0.574,0.3,4.225,1.344,4.7,4.188,0.429,4.05,3.9,0.566,3.9,5.125,6.728,3.0,16.375,22.765,9.0,5593.0,8741.472,2802.0,0.0,8.0,,39.27,0.11,0.3,-16.291000000000004,-41.48459383753502,0.178,161.8181818181818,3.925,1308.3333333333335,-22.979,-0.288,-4.225
