publisher,has_gamepass_remediation,momentum_mean,discovery_capture_mean,quality_retention_mean,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Art Games Studio S.A.,False,100.0,1.12,-1.1,2.0,,2.0,2.0,,2.0,3.1,,3.1,1.0,,1.0,1.0,,1.0,89.0,,89.0,0.0,1.0
10tons Ltd.,False,0.0,0.0,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.424,4.1,0.0,0.0,0.5555555555555556,
13AM Games,False,0.0,0.0,-2.6,0.0,,0.0,0.0,,0.0,2.6,,2.6,0.0,,0.0,0.0,,0.0,1759.0,,1759.0,0.0,1.0
2K,False,24.393,0.939,-0.327,2.055,2.397,0.0,3.345,1.796,3.8,3.673,0.77,3.5,1.818,2.786,0.0,7.727,11.9,2.0,5578.727,7112.015,3452.0,0.0,11.0
2K Games,False,30.476,0.19,-0.064,2.643,2.205,3.0,4.4,0.467,4.3,4.464,0.134,4.5,2.143,2.07,2.0,6.357,2.468,6.0,3122.071,2936.314,1261.0,0.0,14.0
505 Games,False,32.11,0.132,-0.671,2.39,2.385,3.0,3.486,2.074,4.6,4.157,0.443,4.3,3.524,10.112,1.0,9.19,29.659,2.0,2816.905,2302.285,1884.0,0.0,21.0
505 Games,True,28.579,0.277,0.257,4.7,0.451,5.0,4.457,0.382,4.7,4.2,0.412,4.4,13.429,3.952,16.0,49.571,19.303,65.0,19445.857,15333.736,31664.0,7.0,7.0
"8-4, Ltd.",False,25.53,0.16,0.3,4.4,,4.4,4.8,,4.8,4.5,,4.5,12.0,,12.0,47.0,,47.0,7554.0,,7554.0,0.0,1.0
ARC SYSTEM WORKS,False,0.0,0.0,-1.65,0.0,0.0,0.0,2.5,3.536,2.5,4.15,0.071,4.15,0.0,0.0,0.0,0.5,0.707,0.5,537.5,736.098,537.5,0.0,2.0
Accelerate Games,False,0.0,0.0,1.5,0.0,,0.0,5.0,,5.0,3.5,,3.5,0.0,,0.0,2.0,,2.0,275.0,,275.0,0.0,1.0
