publisher,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Art Games Studio S.A.,100.0,,100.0,1.12,,1.12,-1.1,,-1.1,2.0,,2.0,2.0,,2.0,3.1,,3.1,1.0,,1.0,1.0,,1.0,89.0,,89.0,0.0,1.0
10tons Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,-4.1,0.42,-4.1,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.42,4.1,0.0,0.0,0.0,0.0,0.0,0.0,254.0,254.56,254.0,0.0,2.0
11 bit studios,10.54,13.47,5.43,0.41,1.05,0.03,-0.24,1.38,0.2,2.47,2.41,3.0,3.89,1.78,4.2,4.13,0.57,4.3,1.43,2.51,1.0,21.14,47.68,3.0,1676.29,1566.66,1785.0,3.0,7.0
13AM Games,0.0,,0.0,0.0,,0.0,-2.6,,-2.6,0.0,,0.0,0.0,,0.0,2.6,,2.6,0.0,,0.0,0.0,,0.0,1759.0,,1759.0,0.0,1.0
2K,24.39,38.78,0.0,0.94,3.01,0.0,-0.33,1.71,0.3,2.05,2.4,0.0,3.35,1.8,3.8,3.67,0.77,3.5,1.82,2.79,0.0,7.73,11.9,2.0,5578.73,7112.02,3452.0,0.0,11.0
2K Games,30.48,26.75,40.0,0.19,0.2,0.16,-0.06,0.38,-0.2,2.64,2.21,3.0,4.4,0.47,4.3,4.46,0.13,4.5,2.14,2.07,2.0,6.36,2.47,6.0,3122.07,2936.31,1261.0,0.0,14.0
505 Games,31.23,30.8,24.62,0.17,0.26,0.05,-0.44,1.76,0.3,2.97,2.3,4.2,3.73,1.84,4.65,4.17,0.43,4.3,6.0,9.91,1.5,19.29,32.43,3.5,6974.14,10485.43,2699.0,7.0,28.0
"8-4, Ltd.",25.53,,25.53,0.16,,0.16,0.3,,0.3,4.4,,4.4,4.8,,4.8,4.5,,4.5,12.0,,12.0,47.0,,47.0,7554.0,,7554.0,0.0,1.0
ARC SYSTEM WORKS,0.0,0.0,0.0,0.0,0.0,0.0,-1.65,3.61,-1.65,0.0,0.0,0.0,2.5,3.54,2.5,4.15,0.07,4.15,0.0,0.0,0.0,0.5,0.71,0.5,537.5,736.1,537.5,0.0,2.0
Accelerate Games,0.0,,0.0,0.0,,0.0,1.5,,1.5,0.0,,0.0,5.0,,5.0,3.5,,3.5,0.0,,0.0,2.0,,2.0,275.0,,275.0,0.0,1.0
Activision,23.63,15.85,25.0,0.17,0.13,0.16,-0.44,2.13,0.3,3.64,2.1,4.7,3.28,1.87,4.0,3.72,0.36,3.9,11.4,12.93,10.0,41.0,52.19,25.0,6205.6,7992.23,3169.0,2.0,5.0
Activision Publishing Inc.,19.59,22.42,14.95,0.57,0.93,0.26,-0.32,1.52,0.0,1.82,1.7,2.7,2.88,1.47,2.7,3.2,0.87,3.0,37.8,52.01,9.0,204.0,341.7,17.0,10570.2,20055.34,2266.0,4.0,5.0
Adult Swim Games,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.6,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,360.8,258.61,329.0,0.0,5.0
Aggro Crab,31.11,,31.11,0.22,,0.22,0.0,,0.0,4.4,,4.4,4.1,,4.1,4.1,,4.1,14.0,,14.0,45.0,,45.0,6490.0,,6490.0,1.0,1.0
Alliance Digital Media,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,186.0,,186.0,0.0,1.0
Amanita Design s.r.o.,33.34,47.14,33.34,0.32,0.46,0.32,-2.5,3.11,-2.5,2.0,2.83,2.0,2.15,3.04,2.15,4.65,0.07,4.65,1.0,1.41,1.0,1.5,2.12,1.5,231.5,111.02,231.5,0.0,2.0
Amplitude STUDIOS,0.0,,0.0,0.0,,0.0,-2.8,,-2.8,0.0,,0.0,0.0,,0.0,2.8,,2.8,0.0,,0.0,0.0,,0.0,358.0,,358.0,0.0,1.0
Annapurna Interactive,27.81,36.95,17.9,0.06,0.1,0.02,-0.71,1.86,0.1,2.57,2.36,3.1,3.46,2.16,4.8,4.17,0.51,4.25,2.5,3.61,1.0,9.75,15.03,1.5,5174.58,3463.39,4434.5,2.0,12.0
Another Indie,100.0,,100.0,0.12,,0.12,-1.8,,-1.8,1.0,,1.0,1.0,,1.0,2.8,,2.8,1.0,,1.0,1.0,,1.0,850.0,,850.0,0.0,1.0
Another Indie Studio,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,145.0,,145.0,0.0,1.0
Arc Games,9.83,13.46,0.0,0.02,0.03,0.0,-0.24,2.27,0.6,1.98,2.71,0.0,3.28,2.02,4.3,3.52,0.53,3.7,1.8,3.03,0.0,8.2,12.03,3.0,4059.8,3846.34,1960.0,0.0,5.0
Aspyr,16.67,14.43,25.0,0.05,0.04,0.07,-1.3,1.21,-0.6,3.33,2.89,5.0,2.53,2.19,3.8,3.83,0.98,4.4,0.67,0.58,1.0,2.67,2.31,4.0,1119.0,708.41,1528.0,0.0,3.0
Aspyr Media,16.67,40.82,0.0,0.08,0.21,0.0,-3.2,2.46,-4.3,0.83,2.04,0.0,0.83,2.04,0.0,4.03,0.45,4.3,0.17,0.41,0.0,0.17,0.41,0.0,1184.5,490.95,1425.0,0.0,6.0
Asteroid Base Inc.,33.33,,33.33,0.04,,0.04,0.8,,0.8,5.0,,5.0,5.0,,5.0,4.2,,4.2,1.0,,1.0,3.0,,3.0,2511.0,,2511.0,0.0,1.0
Asymmetric Publications,100.0,,100.0,0.65,,0.65,-3.5,,-3.5,1.0,,1.0,1.0,,1.0,4.5,,4.5,1.0,,1.0,1.0,,1.0,153.0,,153.0,0.0,1.0
"Atari, Digital Eclipse",0.0,0.0,0.0,0.0,0.0,0.0,-3.3,0.0,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,7592.0,0.0,7592.0,0.0,4.0
Avalanche Studios,38.95,14.6,44.44,0.33,0.24,0.2,0.3,0.36,0.4,3.87,0.32,4.0,3.97,0.51,4.1,3.67,0.29,3.5,36.0,43.59,16.0,144.0,208.19,36.0,8787.33,5705.8,9043.0,3.0,3.0
Awaken Realms Digital,60.0,,60.0,0.15,,0.15,-0.1,,-0.1,4.7,,4.7,3.8,,3.8,3.9,,3.9,3.0,,3.0,5.0,,5.0,1997.0,,1997.0,0.0,1.0
BANDAI NAMCO Entertainment,39.27,22.98,30.0,0.12,0.07,0.11,0.29,0.57,0.3,4.22,1.34,4.7,4.19,0.43,4.05,3.9,0.57,3.9,5.12,6.73,3.0,16.38,22.77,9.0,5593.0,8741.47,2802.0,0.0,8.0
BANDAI NAMCO Entertainment America Inc.,43.87,20.13,36.36,0.16,0.08,0.2,0.23,0.15,0.2,4.4,0.17,4.5,4.47,0.21,4.4,4.23,0.25,4.2,4.67,3.06,4.0,13.0,9.54,14.0,3391.33,2261.05,3687.0,0.0,3.0
BANDAI NAMCO Entertainment Inc.,18.27,23.79,11.54,0.15,0.17,0.13,-0.45,2.59,0.6,2.3,2.68,2.1,3.7,2.47,4.9,4.15,0.34,4.2,1.75,2.87,0.5,7.25,12.53,1.5,719.0,761.72,453.0,0.0,4.0
Bandai Namco Entertainment America Inc.,11.15,15.41,0.0,0.03,0.06,0.0,-1.52,2.54,-0.7,1.76,2.43,0.0,2.24,2.31,2.0,3.76,0.71,3.8,1.0,1.73,0.0,3.6,5.5,1.0,1799.8,1625.06,1316.0,1.0,5.0
Bandai Namco Entertainment Inc.,44.44,,44.44,0.11,,0.11,0.2,,0.2,4.0,,4.0,3.3,,3.3,3.1,,3.1,4.0,,4.0,9.0,,9.0,3621.0,,3621.0,0.0,1.0
Beam Team Publishing,23.08,,23.08,0.04,,0.04,1.1,,1.1,5.0,,5.0,4.2,,4.2,3.1,,3.1,3.0,,3.0,13.0,,13.0,8241.0,,8241.0,0.0,1.0
Beamdog,21.43,0.0,21.43,0.39,0.0,0.39,-0.8,0.0,-0.8,2.7,0.0,2.7,3.1,0.0,3.1,3.9,0.0,3.9,3.0,0.0,3.0,14.0,0.0,14.0,772.0,0.0,772.0,3.0,3.0
Bedtime Digital Games,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,3.68,-1.8,0.0,0.0,0.0,2.4,3.39,2.4,4.2,0.28,4.2,0.0,0.0,0.0,2.0,2.83,2.0,1125.0,246.07,1125.0,0.0,2.0
Behaviour Interactive Inc.,32.04,,32.04,0.3,,0.3,-0.2,,-0.2,3.1,,3.1,3.1,,3.1,3.3,,3.3,91.0,,91.0,284.0,,284.0,30220.0,,30220.0,1.0,1.0
Bethesda Softworks,25.07,24.26,22.22,0.12,0.16,0.07,-0.76,1.71,0.0,2.82,1.94,3.5,3.27,1.85,4.2,4.03,0.63,4.3,10.31,34.18,3.0,32.69,97.16,11.0,8675.83,23339.43,1944.0,32.0,35.0
Big Ant Studios,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,523.0,,523.0,0.0,1.0
Big Ant Studios PTY,0.0,,0.0,0.0,,0.0,-4.0,,-4.0,0.0,,0.0,0.0,,0.0,4.0,,4.0,0.0,,0.0,0.0,,0.0,1609.0,,1609.0,0.0,1.0
Big Cheese Studio,30.0,,30.0,0.13,,0.13,-0.3,,-0.3,1.3,,1.3,2.5,,2.5,2.8,,2.8,3.0,,3.0,10.0,,10.0,2365.0,,2365.0,1.0,1.0
Big Sugar Games,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,1268.0,,1268.0,0.0,1.0
Bigben,50.0,,50.0,0.07,,0.07,2.6,,2.6,5.0,,5.0,5.0,,5.0,2.4,,2.4,1.0,,1.0,2.0,,2.0,1416.0,,1416.0,0.0,1.0
Bigben Interactive,15.0,33.75,0.0,0.01,0.03,0.0,-1.1,2.18,-2.0,0.6,1.58,0.0,2.23,1.77,2.0,3.33,0.7,3.55,0.2,0.42,0.0,1.1,0.88,1.0,1556.5,737.56,1767.0,0.0,10.0
Billy Goat Entertainment Ltd,0.0,,0.0,0.0,,0.0,-3.3,,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,485.0,,485.0,0.0,1.0
Bitmap Bureau Ltd.,0.0,,0.0,0.0,,0.0,-3.5,,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,695.0,,695.0,0.0,1.0
Black Forest Games GmbH,66.67,0.0,66.67,0.11,0.0,0.11,1.2,0.0,1.2,5.0,0.0,5.0,5.0,0.0,5.0,3.8,0.0,3.8,2.0,0.0,2.0,3.0,0.0,3.0,1903.0,0.0,1903.0,0.0,2.0
BlackMill Games ,30.77,,30.77,0.12,,0.12,0.8,,0.8,4.8,,4.8,4.4,,4.4,3.6,,3.6,4.0,,4.0,13.0,,13.0,3345.0,,3345.0,0.0,1.0
Blackbird Interactive,20.0,,20.0,0.05,,0.05,1.2,,1.2,5.0,,5.0,5.0,,5.0,3.8,,3.8,1.0,,1.0,5.0,,5.0,1987.0,,1987.0,0.0,1.0
Blizzard Entertainment,33.27,6.77,33.33,6.8,11.44,0.35,0.13,0.4,0.2,3.0,1.0,3.0,3.93,0.64,4.3,3.8,0.8,3.8,4.0,4.36,2.0,14.0,17.35,5.0,7641.0,12737.2,573.0,1.0,3.0
Bloober Team NA,60.0,,60.0,0.04,,0.04,0.0,,0.0,2.7,,2.7,3.4,,3.4,3.4,,3.4,3.0,,3.0,5.0,,5.0,6839.0,,6839.0,0.0,1.0
Bloober Team S.A.,26.47,,26.47,0.01,,0.01,0.1,,0.1,4.9,,4.9,4.6,,4.6,4.5,,4.5,9.0,,9.0,34.0,,34.0,122037.0,,122037.0,0.0,1.0
Blue Sunset Games,0.0,,0.0,0.0,,0.0,-3.5,,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,64.0,,64.0,0.0,1.0
Bohemia Interactive a.s.,27.14,,27.14,0.14,,0.14,0.6,,0.6,3.8,,3.8,3.4,,3.4,2.8,,2.8,38.0,,38.0,140.0,,140.0,26988.0,,26988.0,1.0,1.0
Boneloaf,26.56,,26.56,0.16,,0.16,0.5,,0.5,4.1,,4.1,4.4,,4.4,3.9,,3.9,34.0,,34.0,128.0,,128.0,21166.0,,21166.0,1.0,1.0
Born Ready Games,0.0,,0.0,0.0,,0.0,-2.7,,-2.7,0.0,,0.0,0.0,,0.0,2.7,,2.7,0.0,,0.0,0.0,,0.0,5859.0,,5859.0,0.0,1.0
Bossa Studios,53.33,,53.33,0.05,,0.05,-2.0,,-2.0,1.8,,1.8,1.5,,1.5,3.5,,3.5,8.0,,8.0,15.0,,15.0,15818.0,,15818.0,0.0,1.0
Brave At Night,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,508.0,,508.0,0.0,1.0
Broken Rules,0.0,,0.0,0.0,,0.0,1.3,,1.3,0.0,,0.0,5.0,,5.0,3.7,,3.7,0.0,,0.0,2.0,,2.0,1451.0,,1451.0,0.0,1.0
