Game,MS_Store_Link,ProductID,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay
MIO: Memories in Orbit,https://www.xbox.com/en-US/games/store/mio-memories-in-orbit/9np86k57sqm3,9np86k57sqm3,Xbox / PC,Yes,Active,Jan 2026,,0.2,Dec 2025,0.0,,,,,Handheld Optimized,,,,TBD,,0.2
Bratz: Rhythm & Style,https://www.xbox.com/en-us/games/store/bratz-rhythm-style/9p76mmjg50ds,9p76mmjg50ds,Xbox / PC,Yes,Active,Dec 2025,,0.27,Sep 2025,0.25,,,Action-Adventure,,,,,,Active,Oct 2025,-2.33
Dome Keeper,https://www.xbox.com/en-us/games/store/dome-keeper/9p8xkv2d5dz5,9p8xkv2d5dz5,Xbox,Yes,Active,Dec 2025,,0.33,Sep 2022,3.2,90,5.0,Action,,Handheld Optimized,,,,Active,Oct 2025,-2.27
Routine,https://www.xbox.com/en-us/games/store/routine/9PCJT6TLCGGV,9PCJT6TLCGGV,Xbox,Yes,Active,Dec 2025,,0.5,Dec 2025,0.0,,,,,Handheld Optimized,,,,TBD,,0.5
Lost Records: Bloom & Rage,https://www.xbox.com/en-us/games/store/lost-records-bloom-rage/9n3f1lw9hc6c,9n3f1lw9hc6c,Xbox / PC,Yes,Active,Dec 2025,,0.57,Feb 2025,0.79,74,11.0,Action-Adventure,Exclusive,,,,,Active,Oct 2025,-2.03
Marvel Cosmic Invasion,https://www.xbox.com/en-us/games/store/marvel-cosmic-invasion/9n79tqtztqq4,9n79tqtztqq4,Xbox / PC,Yes,Active,Dec 2025,,0.6,Dec 2025,0.0,,,Beat ’em up,,Handheld Optimized,,,,TBD,,0.6
Kill It With Fire! 2,https://www.xbox.com/en-us/games/store/kill-it-with-fire-2/9mxhl3tt792f,9mxhl3tt792f,Xbox / PC,Yes,Active,Nov 2025,,0.8,Nov 2025,0.0,,,Shooter,,,,,,Active,Oct 2025,-1.8
Monsters are Coming! Rock & Road,https://www.xbox.com/en-us/games/store/monsters-are-coming-rock-road/9pjbkf27c16m,9pjbkf27c16m,PC,,Active,Nov 2025,,0.97,Nov 2025,0.0,,,Action-Adventure,,,,,,TBD,,0.97
Moonlighter 2: The Endless Vault (Game Preview),https://www.xbox.com/en-us/games/store/moonlighter-2-the-endless-vault-game-preview/9ndjx252q5bw,9ndjx252q5bw,PC,,Active,Nov 2025,,1.0,Nov 2025,0.0,,,Action-Adventure,,,,,,TBD,,1.0
Winter Burrow,https://www.xbox.com/en-us/games/store/winter-burrow/9nd3httq0gkb,9nd3httq0gkb,Xbox / PC,Yes,Active,Nov 2025,,1.23,Nov 2025,0.0,,,Action-Adventure,,,,,,TBD,,1.23
