,Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count,momentum_genre_baseline,discovery_capture_baseline,quality_retention_baseline,momentum_diff_vs_baseline,momentum_pct_vs_baseline,discovery_capture_diff_vs_baseline,quality_retention_vs_baseline,quality_pct_vs_baseline,momentum_lift,discovery_lift,quality_lift
0,Action,False,32.74,38.23,16.67,0.28,1.27,0.02,-0.51,1.82,0.1,2.15,2.22,1.0,3.32,1.98,4.1,3.83,0.54,3.9,1.1,1.4,1.0,3.29,4.72,1.0,2158.19,3300.31,894.0,63,32.36,0.03,0.1,0.38000000000000256,1.1742892459827026,-0.009999999999999998,0.0,0.0,-2.5600000000000023,0.13,0.1
1,Action,True,30.18,21.97,30.56,0.34,0.47,0.15,0.31,0.47,0.2,3.26,1.72,3.7,4.07,0.66,4.1,3.76,0.62,3.6,16.64,25.56,11.0,57.91,84.91,31.0,8122.45,8458.91,5796.0,11,32.36,0.03,0.1,-2.1799999999999997,-6.736711990111248,0.12,0.1,100.0,-2.5600000000000023,0.13,0.1
2,Action / Action-Adventure,False,30.47,31.91,27.78,0.15,0.18,0.09,0.6,0.72,0.4,2.9,2.54,4.0,4.43,0.55,4.7,3.83,1.25,4.4,4.0,3.61,5.0,11.33,6.51,11.0,2762.67,2780.01,2022.0,3,31.04,0.08,0.2,-0.5700000000000003,-1.836340206185568,0.009999999999999995,0.2,100.0,2.289999999999999,-0.009999999999999995,-0.6000000000000001
3,Action / Action-Adventure,True,32.76,,32.76,0.08,,0.08,-0.2,,-0.2,4.5,,4.5,4.3,,4.3,4.5,,4.5,19.0,,19.0,58.0,,58.0,23978.0,,23978.0,1,31.04,0.08,0.2,1.7199999999999989,5.541237113402058,0.0,-0.4,-200.0,2.289999999999999,-0.009999999999999995,-0.6000000000000001
4,Action / Adventure,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.73,-2.0,0.0,0.0,0.0,3.0,1.73,2.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,2016.33,302.53,2191.0,3,0.0,0.0,-2.0,0.0,,0.0,0.0,-0.0,0.0,0.0,2.0
5,Action / Adventure / Platformer,False,25.0,,25.0,0.14,,0.14,2.4,,2.4,5.0,,5.0,4.8,,4.8,2.4,,2.4,1.0,,1.0,4.0,,4.0,703.0,,703.0,1,25.0,0.14,2.4,0.0,0.0,0.0,0.0,0.0,-25.0,-0.14,-2.4
6,Action / Adventure / RPG,True,100.0,,100.0,0.38,,0.38,-2.1,,-2.1,1.0,,1.0,1.0,,1.0,3.1,,3.1,1.0,,1.0,1.0,,1.0,261.0,,261.0,1,100.0,0.38,-2.1,0.0,0.0,0.0,0.0,-0.0,100.0,0.38,-2.1
7,Action / Adventure / RPG / Simulation,False,0.0,,0.0,0.0,,0.0,1.5,,1.5,0.0,,0.0,4.5,,4.5,3.0,,3.0,0.0,,0.0,2.0,,2.0,829.0,,829.0,1,0.0,0.0,1.5,0.0,,0.0,0.0,0.0,0.0,0.0,-1.5
8,Action / Adventure / Shooter,False,0.0,,0.0,0.0,,0.0,0.9,,0.9,0.0,,0.0,5.0,,5.0,4.1,,4.1,0.0,,0.0,7.0,,7.0,3387.0,,3387.0,1,0.0,0.0,0.9,0.0,,0.0,0.0,0.0,0.0,0.0,-0.9
9,Action / Brawler,False,11.76,16.64,11.76,0.02,0.04,0.02,0.15,0.92,0.15,2.5,3.54,2.5,4.45,0.64,4.45,4.3,0.28,4.3,2.0,2.83,2.0,9.0,11.31,9.0,3819.0,5079.86,3819.0,2,17.91,0.05,0.4,-6.15,-34.33835845896148,-0.030000000000000002,-0.25,-62.5,18.43,0.16,0.25
