product_id,title,publisher,developer,short_description,category,original_release_date,gamepass_added_date,rating_7_days_count,rating_30_days_count,rating_alltime_count,rating_7_days_avg,rating_30_days_avg,rating_alltime_avg,Rating_play_count_7_days,Rating_play_count_30_days,Rating_play_count_alltime,has_gamepass_remediation,current_price,Game,MS_Store_Link,ProductID,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay
9P76MMJG50DS,Bratz® Rhythm & Style,Outright Games Ltd.,RecoTechnology SL. ,"Rule the runway and take the stage with the Bratz Pack! Customize fierce fashions, groove to songs from the Bratz Universe like ‘So Good’, and jet off to iconic cities. Outshine mean Burdine and the Tweevil Twins in epic fashion battles—solo or with friends. ",Unknown,2025-09-12 04:00:00+00:00,,112,461,474,2.5,2.5,2.5,0.0,0.0,0.0,True,19.99,,,,,,,,,,,,,,,,,,,,,,
9P8XKV2D5DZ5,Dome Keeper,Raw Fury,Bippinbits,"Defend against waves of alien monsters in this unique roguelike action miner. Dig for resources, collect useful gadgets, and upgrade equipment to increase odds of survival – just hurry back before your dome is destroyed! ",Unknown,2025-12-09 14:00:00+00:00,,85,504,504,4.2,4.1,4.1,0.0,0.0,0.0,True,17.99,,,,,,,,,,,,,,,,,,,,,,
9PCJT6TLCGGV,ROUTINE,Raw Fury,Lunar Software,ROUTINE is a First Person Sci-Fi Horror set on an abandoned lunar base designed around an 80s vision of the future. Explore and investigate your surroundings as you survive against unknown threats. ,Unknown,2025-12-04 15:00:00+00:00,,234,1828,1828,4.2,3.9,3.9,0.0,0.0,0.0,True,24.99,Routine,https://www.xbox.com/en-us/games/store/routine/9PCJT6TLCGGV,9PCJT6TLCGGV,Xbox,Yes,Active,Dec 2025,,0.5,Dec 2025,0.0,,,,,Handheld Optimized,,,,TBD,,0.5
9N3F1LW9HC6C,Lost Records: Bloom & Rage,DON'T NOD,DON'T NOD,"Embark on a new narrative journey by the creators of Life is Strange. Film your summer of 1995 and create memories of a lifetime with your new friends. 27 years later, confront the dark secrets that made you all promise to never speak again after that fateful summer.",Unknown,2025-02-18 09:00:00+00:00,,151,1126,1922,4.2,3.5,4.0,0.0,0.0,0.0,True,27.99,,,,,,,,,,,,,,,,,,,,,,
9N79TQTZTQQ4,MARVEL Cosmic Invasion,Dotemu,Tribute Games,"A cosmic battle awaits! Choose between 15 Marvel Super Heroes in this frenetic action beat ‘em up to fight against the deadly Annihilation Wave threatening the galaxy. From New York City to the depths of the Negative Zone, the future of the Marvel Universe will be fought for across the stars!",Unknown,2025-12-01 16:00:00+00:00,,70,1443,1443,4.0,3.9,3.9,0.0,0.0,0.0,True,29.99,,,,,,,,,,,,,,,,,,,,,,
9MXHL3TT792F,KILL IT WITH FIRE! 2,tinyBuild,Casey Donnellan Games LLC,Embark on an epic co-op spider-hunting crusade! It's time to KILL IT WITH FIRE!,Unknown,2025-11-25 15:00:00+00:00,,27,588,588,3.8,3.6,3.6,0.0,0.0,0.0,True,14.99,,,,,,,,,,,,,,,,,,,,,,
9PJBKF27C16M,Monsters are Coming! Rock & Road,Raw Fury,Ludogram,"Beware, Monsters are Coming! In this Tower-Survivor rogue-lite, you protect an ever-moving city from unrelenting hordes. Gather resources, fortify defences, and boost potential through enhanced player progression. Will you reach the Ark?  ",Unknown,2025-11-20 14:00:00+00:00,,13,126,193,3.8,3.6,3.6,0.0,0.0,0.0,True,8.99,,,,,,,,,,,,,,,,,,,,,,
9NDJX252Q5BW,Moonlighter 2: The Endless Vault (Game Preview),11 bit studios, Digital Sun,"Live the double life of a fearless adventurer and a crafty merchant! Dive into vibrant dimensions brimming with shiny loot and pesky enemies. Grow your shop, tinker with weapons and gadgets, as well as make your mark among a ragtag community of castaways.",Unknown,2025-11-19 14:00:00+00:00,,7,129,251,4.3,4.2,4.0,0.0,0.0,0.0,True,29.99,,,,,,,,,,,,,,,,,,,,,,
9ND3HTTQ0GKB,Winter Burrow,Noodlecake,Pine Creek Games,"Winter Burrow is a cozy woodland survival game about a mouse returning home to restore their childhood burrow. Explore, gather resources, craft, knit warm sweaters, bake pies and meet the locals.",Unknown,2025-11-12 16:00:00+00:00,,40,346,1464,4.4,4.4,4.2,0.0,0.0,0.0,True,15.99,,,,,,,,,,,,,,,,,,,,,,
C3553MB4P5TT,Lara Croft and the Temple of Osiris,Crystal Dynamics,Crystal Dynamics,"Lara Croft and the Temple of Osiris is the sequel to the critically-acclaimed Lara Croft and the Guardian of Light, and the first-ever four-player co-op experience with Lara Croft. Featuring stunning visuals and a brand-new story, players must work together to explore the temple, defeat hordes of enemies from the Egyptian underworld, solve devious puzzles, and avoid deadly traps. All the while, players will compete for treasure, powerful artifacts, and ultimate bragging rights.",Unknown,2014-12-09 00:00:00+00:00,,5,15,2899,3.2,2.7,3.8,0.0,0.0,0.0,True,2.99,Lara Croft and the Temple of Osiris,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Temple-of-Osiris/C3553MB4P5TT,C3553MB4P5TT,Xbox / PC,Yes,Active,Nov 2025,,1.27,Dec 2014,10.92,74,5.0,Action-Adventure,,,,,,Active,Oct 2025,-1.33
