Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre,Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes,Status.1,Added.1,Delay,MS_Store_Link
Bratz: Rhythm & Style,Xbox / PC,Yes,Active,Dec 2025,,0.27,Sep 2025,0.25,,,Action-Adventure,,,,,,Active,Oct 2025,-2.33,Not Found
Mortal Kombat 1,Xbox / PC,Yes,Active,Dec 2025,,0.3,Sep 2023,2.23,83,,Action-Adventure,Exclusive,,,,,Active,Oct 2025,-2.3,Not Found
A Game About Digging A Hole,Xbox,Yes,Active,Dec 2025,,0.33,Feb 2025,0.84,,2.0,Adventure,Exclusive,Handheld Optimized,,,,Active,Oct 2025,-2.27,Not Found
Death Howl,PC,,Active,Dec 2025,,0.33,Dec 2025,0.0,,,Adventure,,Handheld Optimized,,,,TBD,,0.33,Not Found
Dome Keeper,Xbox,Yes,Active,Dec 2025,,0.33,Sep 2022,3.2,90,5.0,Action,,Handheld Optimized,,,,Active,Oct 2025,-2.27,Not Found
Routine,Xbox,Yes,Active,Dec 2025,,0.5,Dec 2025,0.0,,,,,Handheld Optimized,,,,TBD,,0.5,Not Found
Lost Records: Bloom & Rage,Xbox / PC,Yes,Active,Dec 2025,,0.57,Feb 2025,0.79,74,11.0,Action-Adventure,Exclusive,,,,,Active,Oct 2025,-2.03,Not Found
Marvel Cosmic Invasion,Xbox / PC,Yes,Active,Dec 2025,,0.6,Dec 2025,0.0,,,Beat ’em up,,Handheld Optimized,,,,TBD,,0.6,Not Found
Banishers: Ghosts of New Eden,Xbox / PC,Yes,Active,Nov 2025,,0.8,Feb 2024,1.78,78,27.0,Action-Adventure,Exclusive,Handheld Optimized,,,,Active,Oct 2025,-1.8,Not Found
Kill It With Fire! 2,Xbox / PC,Yes,Active,Nov 2025,,0.8,Nov 2025,0.0,,,Shooter,,,,,,Active,Oct 2025,-1.8,Not Found
