Game,MS_Store_Link,ProductID
Bratz: Rhythm & Style,https://www.xbox.com/en-us/games/store/bratz-rhythm-style/9p76mmjg50ds,9p76mmjg50ds
Mortal Kombat 1,Not Found,N/A
A Game About Digging A Hole,Not Found,N/A
Death Howl,Not Found,N/A
Dome Keeper,https://www.xbox.com/en-us/games/store/dome-keeper/9p8xkv2d5dz5,9p8xkv2d5dz5
Routine,https://www.xbox.com/en-us/games/store/routine/9PCJT6TLCGGV,9PCJT6TLCGGV
Lost Records: Bloom & Rage,https://www.xbox.com/en-us/games/store/lost-records-bloom-rage/9n3f1lw9hc6c,9n3f1lw9hc6c
Marvel Cosmic Invasion,https://www.xbox.com/en-us/games/store/marvel-cosmic-invasion/9n79tqtztqq4,9n79tqtztqq4
Banishers: Ghosts of New Eden,Not Found,N/A
Kill It With Fire! 2,https://www.xbox.com/en-us/games/store/kill-it-with-fire-2/9mxhl3tt792f,9mxhl3tt792f
Young Suns,Not Found,N/A
Clover Pit,Not Found,N/A
Monsters are Coming! Rock & Road,https://www.xbox.com/en-us/games/store/monsters-are-coming-rock-road/9pjbkf27c16m,9pjbkf27c16m
The Crew Motorfest,Not Found,N/A
Total Chaos,Not Found,N/A
Moonlighter 2: The Endless Vault (Game Preview),https://www.xbox.com/en-us/games/store/moonlighter-2-the-endless-vault-game-preview/9ndjx252q5bw,9ndjx252q5bw
Call of Duty: Black Ops 7,Not Found,N/A
Relic Hunters Legend,Not Found,N/A
Winter Burrow,https://www.xbox.com/en-us/games/store/winter-burrow/9nd3httq0gkb,9nd3httq0gkb
Great God Grove,Not Found,N/A
Lara Croft and the Temple of Osiris,https://www.xbox.com/en-us/games/store/Lara-Croft-and-the-Temple-of-Osiris/C3553MB4P5TT,C3553MB4P5TT
Pigeon Simulator,Not Found,N/A
Voidtrain,https://www.xbox.com/en-us/games/store/voidtrain/9nqmvr9wl9fw,9nqmvr9wl9fw
Egging On,Not Found,N/A
Whiskerwood,https://www.xbox.com/en-us/games/store/whiskerwood-game-preview/9NM2T0DMP4XV,9NM2T0DMP4XV
Dead Static Drive,Not Found,N/A
Pacific Drive,https://www.xbox.com/en-us/games/store/pacific-drive/9pnkg0wbl61w,9pnkg0wbl61w
1000xResist,https://www.xbox.com/en-us/games/store/1000xresist/9npdn9r45jx4,9npdn9r45jx4
Football Manager 26,Not Found,N/A
The Outer Worlds 2,Not Found,N/A
Halls of Torment,Not Found,N/A
Super Fantasy Kingdom (Game Preview),https://www.xbox.com/en-us/games/store/super-fantasy-kingdom-game-preview/9MZ8B96NDG1T,9MZ8B96NDG1T
PowerWash Simulator 2,Not Found,N/A
Bounty Star: The Morose Tale of Graveyard Clem,Not Found,N/A
Evil West,https://www.xbox.com/en-us/games/store/Evil-West/9MW581HCJPM6,9MW581HCJPM6
Ninja Gaiden 4,Not Found,N/A
Keeper,https://www.xbox.com/en-us/games/store/keeper/9ncjwhhmvhr0,9ncjwhhmvhr0
BattleTech: The Crescent Hawk's Inception,Not Found,N/A
BattleTech: The Crescent Hawk's Revenge,Not Found,N/A
Ice Hockey,Not Found,N/A
Moonsweeper,https://www.xbox.com/en-us/games/store/Microsoft-Minesweeper/9WZDNCRFHWCN,9WZDNCRFHWCN
Pax Dei,https://www.xbox.com/en-us/games/store/pax-dei/9PHGK0538TXM,9PHGK0538TXM
Ball x Pit,Not Found,N/A
The Grinch: Christmas Adventures,https://www.xbox.com/en-us/games/store/the-grinch-christmas-adventures/9pdbv8r4tsnh,9pdbv8r4tsnh
The Casting of Frank Stone,Not Found,N/A
Heroes of Might and Magic II: Gold Edition,Not Found,N/A
Heroes of Might and Magic III: Complete Edition,Not Found,N/A
Baldur's Gate and Baldur's Gate II: Enhanced Editions,https://www.xbox.com/en-us/games/store/Baldurs-Gate-and-Baldurs-Gate-II-Enhanced-Editions/9NCNBWZSHZR5,9NCNBWZSHZR5
Little Rocket Lab,https://www.xbox.com/en-us/games/store/little-rocket-lab/9n3m5d5zsw34,9n3m5d5zsw34
Supermarket Simulator,https://www.xbox.com/en-us/games/store/supermarket-simulator/9nr0gcbsldw4,9nr0gcbsldw4
Sopa: Tale of the Stolen Potato,https://www.xbox.com/en-us/games/store/sopa-tale-of-the-stolen-potato/9N221ZTFGQB0,9N221ZTFGQB0
Hogwarts Legacy,https://www.xbox.com/en-us/games/store/hogwarts-legacy/9MT5NJ5W7B8Z,9MT5NJ5W7B8Z
Assassin's Creed II,https://www.xbox.com/en-us/games/store/Assassins-Creed-II/BNVMH8NVCRCT,BNVMH8NVCRCT
Assassin's Creed III: Remastered,https://www.xbox.com/en-us/games/store/Assassins-Creed-III-Remastered/BPMJ413V6BB2,BPMJ413V6BB2
Assassin's Creed IV Black Flag,https://www.xbox.com/en-us/games/store/Assassins-Creed-IV-Black-Flag/BRKMHZX1RCF2,BRKMHZX1RCF2
Assassin's Creed IV Black Flag: Freedom Cry,https://www.xbox.com/en-us/games/store/Assassins-Creed-IV-Black-Flag-Freedom-Cry/BVT23T7MDRQ8,BVT23T7MDRQ8
Assassin's Creed Brotherhood,https://www.xbox.com/en-us/games/store/Assassins-Creed-Brotherhood/BTS5B1V6434S,BTS5B1V6434S
Assassin's Creed Chronicles: China,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-China/BZQQ7HX8PZ05,BZQQ7HX8PZ05
Assassin's Creed Chronicles: India,https://www.xbox.com/en-us/games/store/Assassins-Creed-Chronicles-India/BTMS1PXLQ6P6,BTMS1PXLQ6P6
Assassin's Creed Chronicles: Russia,Not Found,N/A
Assassin's Creed Liberation HD,Not Found,N/A
Assassin's Creed Revelations,https://www.xbox.com/en-us/games/store/Assassins-Creed-Revelations/BX2JJ48F0CKR,BX2JJ48F0CKR
Assassin's Creed Rogue: Remastered,https://www.xbox.com/en-us/games/store/Assassins-Creed-Rogue-Remastered/BWT5L9P3L60X,BWT5L9P3L60X
Assassin's Creed Syndicate,https://www.xbox.com/en-us/games/store/Assassins-Creed-Syndicate/BXVQ8M4J9HNM,BXVQ8M4J9HNM
Assassin's Creed: The Ezio Collection,https://www.xbox.com/en-us/games/store/Assassins-Creed-The-Ezio-Collection/BQ9S8ZKCT3Q7,BQ9S8ZKCT3Q7
Assassin's Creed Unity,Not Found,N/A
Child of Light,Error,N/A
Far Cry 3,Error,N/A
Far Cry 3: Blood Dragon,Not Found,N/A
Far Cry Primal,Not Found,N/A
Hungry Shark World,https://www.xbox.com/en-us/games/store/Hungry-Shark-World/C3NHWKLR94M9,C3NHWKLR94M9
Monopoly Madness,Not Found,N/A
Monopoly (2024),https://www.xbox.com/en-us/games/store/new-monopoly/9p8h220g3s4p,9p8h220g3s4p
OddBallers,Not Found,N/A
Prince of Persia: The Lost Crown,https://www.xbox.com/en-us/games/store/prince-of-persia-the-lost-crown-complete-edition/9pgmq7wtm74b,9pgmq7wtm74b
Rabbids Invasion: The Interactive TV Show,https://www.xbox.com/en-us/games/store/Rabbids-Invasion-The-Interactive-TV-Show/BXZ0JDCPRV6C,BXZ0JDCPRV6C
Rabbids: Party of Legends,https://www.xbox.com/en-us/games/store/rabbids-party-of-legends/9plf73ss7m6j,9plf73ss7m6j
Rayman Legends,https://www.xbox.com/en-us/games/store/Rayman-Legends/C26K4DVGR45B,C26K4DVGR45B
Risk: Urban Assault,https://www.xbox.com/en-us/games/store/Risk-Urban-Assault/BTDRTXBKDBRR,BTDRTXBKDBRR
Scott Pilgrim vs. The World: The Game,Error,N/A
Skull and Bones,Error,N/A
South Park: The Stick of Truth,Not Found,N/A
Starlink: Battle for Atlas,https://www.xbox.com/en-us/games/store/Starlink-Battle-for-Atlas/BT3KQ8HLLZ6K,BT3KQ8HLLZ6K
Steep,https://www.xbox.com/en-us/games/store/STEEP/C350VBGGCL6P,C350VBGGCL6P
